order_item_id,order_id,product_id,quantity,price_per_unit
1,8757,206,5,513.94
2,4754,720,2,1499.99
3,8435,641,3,713.53
4,19831,345,5,1219.16
5,16006,195,2,1218.96
6,17645,53,3,1188.37
7,13065,586,2,1598.16
8,14988,338,1,1542.99
9,410,122,5,1688.32
10,18936,351,3,1759.58
11,18786,239,3,1214.38
12,16818,46,4,1701.2
13,7817,694,1,1774.14
14,7305,620,3,145.75
15,2194,322,1,1526.2
16,1555,588,3,1293.48
17,4183,335,4,1121.58
18,8129,666,4,1514.3
19,1515,341,1,1731.31
20,7142,225,1,596.33
21,2985,477,3,1607.45
22,6322,326,5,1598.45
23,2164,301,5,297.91
24,9747,104,4,274.54
25,9548,60,5,1119.45
26,16123,558,2,1544.44
27,11879,298,2,692.74
28,1368,714,5,1875.9
29,9135,269,5,393.74
30,6531,756,3,1060.42
31,53,376,3,306.02
32,15425,378,4,448.71
33,6719,731,1,1995.51
34,12987,678,5,1938.83
35,3918,592,1,1102.34
36,717,754,5,1663.24
37,16331,538,2,963.75
38,14351,566,2,253.13
39,5700,32,4,1101.5
40,12656,509,1,816.65
41,6893,551,3,149.69
42,1833,698,1,829.53
43,8897,404,1,181.14
44,21318,305,3,1712.25
45,19156,247,2,471
46,14252,232,2,1137.36
47,15628,748,4,388.43
48,16574,399,2,839.73
49,1181,665,4,1798.67
50,12174,434,3,260.78
51,11127,752,5,396.6
52,4341,534,4,1474.79
53,12742,614,1,318.49
54,17329,246,1,1517.88
55,17760,53,5,552.72
56,16908,150,5,733.1
57,15735,746,3,873.72
58,1439,271,1,1259.33
59,11893,70,3,1703.05
60,6677,156,4,1384.16
61,19498,230,3,1600.34
62,15981,512,4,1380.08
63,17941,37,1,1424.82
64,2764,189,3,1789.66
65,6129,129,1,674.52
66,15475,173,2,1017.61
67,17781,111,5,504.99
68,18666,296,1,396.54
69,15289,757,3,1535.64
70,401,25,4,794.67
71,9639,141,2,1159.03
72,18246,123,3,1348.55
73,18611,300,1,1774.29
74,19833,96,5,1686.47
