order_id,order_date,customer_id,seller_id,order_status
1,7/10/2020,85,1,Returned
2,25/02/21,432,25,Cancelled
3,19/05/21,391,10,Delivered
4,19/04/21,511,3,Cancelled
5,7/5/2022,500,25,Delivered
6,20/08/22,308,48,Inprogress
7,28/10/20,203,33,Delivered
8,6/2/2022,629,42,Cancelled
9,9/11/2023,118,9,Cancelled
10,21/10/22,804,16,Cancelled
11,15/04/21,405,27,Inprogress
12,7/1/2021,478,44,Inprogress
13,12/4/2021,502,52,Cancelled
14,22/05/20,279,15,Delivered
15,18/04/21,255,10,Cancelled
16,4/1/2022,479,2,Delivered
17,7/7/2022,359,5,Cancelled
18,28/01/21,340,44,Delivered
19,21/03/22,276,6,Delivered
20,5/11/2021,514,47,Cancelled
21,17/10/21,304,5,Returned
22,4/6/2022,726,29,Returned
23,26/08/22,417,39,Cancelled
24,22/01/21,455,31,Delivered
25,7/11/2020,698,4,Cancelled
26,19/09/22,268,2,Delivered
27,29/08/22,586,18,Inprogress
28,2/3/2022,65,36,Delivered
29,4/9/2022,872,28,Returned
30,15/08/22,570,11,Inprogress
31,15/03/23,114,41,Cancelled
32,6/3/2022,613,49,Inprogress
33,20/01/23,737,19,Returned
34,13/12/20,522,10,Returned
35,8/9/2021,443,6,Delivered
36,29/01/24,98,50,Returned
37,14/02/20,455,39,Cancelled
38,20/05/21,386,32,Cancelled
39,8/1/2024,570,7,Cancelled
40,28/04/23,35,30,Returned
41,13/10/23,461,40,Inprogress
42,29/06/23,504,5,Returned
43,25/01/20,815,17,Inprogress
44,31/08/23,231,21,Delivered
45,22/05/22,101,9,Delivered
46,1/2/2023,886,43,Inprogress
47,25/07/20,331,20,Inprogress
48,15/04/21,822,12,Inprogress
49,8/5/2021,371,21,Delivered
50,26/03/23,654,8,Cancelled
51,3/8/2022,384,20,Delivered
52,15/04/20,321,33,Returned
53,20/05/20,184,38,Inprogress
54,7/12/2020,413,6,Cancelled
55,5/11/2023,56,12,Cancelled
56,28/01/24,176,1,Returned
57,2/4/2020,150,3,Delivered
58,13/10/21,317,41,Cancelled
59,11/9/2023,224,11,Delivered
60,21/08/22,83,32,Delivered
61,25/10/23,72,45,Inprogress
62,30/10/21,759,5,Delivered
63,22/12/23,876,4,Returned
64,11/1/2021,333,23,Delivered
65,4/4/2023,109,49,Returned
66,4/6/2023,856,27,Returned
67,24/05/23,29,40,Returned
68,15/01/23,498,9,Cancelled
69,26/07/21,170,7,Returned
70,5/5/2021,40,20,Inprogress
71,3/2/2022,754,47,Cancelled
72,1/11/2022,843,22,Inprogress
73,17/06/21,94,51,Returned
74,22/03/20,762,19,Delivered
