shipping_id,order_id,shipping_date,return_date,shipping_prov,delivery_status
1,7126,1/11/2023,,bluedart,Delivered
2,7902,25/10/23,,fedex,Delivered
3,14883,8/12/2021,,dhl,Delivered
4,9167,15/12/20,,fedex,Delivered
5,13614,29/06/23,,ups,Delivered
6,13238,12/5/2021,,ups,Delivered
7,1106,19/06/22,,bluedart,Delivered
8,8460,24/10/21,,fedex,Delivered
9,1701,19/02/23,,fedex,Delivered
10,13957,29/10/21,,fedex,Delivered
11,10796,3/6/2023,,bluedart,Delivered
12,18568,26/04/23,,fedex,Delivered
13,6289,16/08/20,,dhl,Delivered
14,468,4/10/2022,,dhl,Delivered
15,21033,21/05/22,,fedex,Delivered
16,4320,22/03/20,,ups,Delivered
17,307,3/7/2023,,bluedart,Delivered
18,14854,15/11/20,,fedex,Delivered
19,19921,3/5/2022,,ups,Delivered
20,8821,20/09/20,,fedex,Delivered
21,6218,21/09/23,,dhl,Delivered
22,1160,3/3/2021,,dhl,Delivered
23,12841,6/8/2021,,fedex,Delivered
24,4084,24/05/23,,fedex,Delivered
25,12151,24/11/23,,bluedart,Delivered
26,14646,28/02/22,,fedex,Delivered
27,18437,18/03/22,,bluedart,Delivered
28,4844,5/1/2020,,fedex,Delivered
29,16865,23/09/22,,fedex,Delivered
30,14253,1/2/2020,,fedex,Delivered
31,10984,28/07/20,,dhl,Delivered
32,2981,22/12/20,,dhl,Delivered
33,14112,23/12/20,,fedex,Delivered
34,4625,8/5/2022,,dhl,Delivered
35,6965,9/11/2020,,ups,Delivered
36,10919,5/10/2021,,bluedart,Delivered
37,8950,30/01/22,,ups,Delivered
38,4493,28/02/23,,dhl,Delivered
39,19874,5/7/2023,,bluedart,Delivered
40,6551,8/3/2020,,bluedart,Delivered
41,15203,8/10/2020,,fedex,Delivered
42,7518,13/02/21,,ups,Delivered
43,11069,17/12/20,,bluedart,Delivered
44,5368,16/08/23,,fedex,Delivered
45,17453,28/11/20,,ups,Delivered
46,14163,9/8/2021,,ups,Delivered
47,19804,18/02/23,,dhl,Delivered
48,12467,18/05/22,,ups,Delivered
49,21506,2/5/2022,,bluedart,Delivered
50,10353,1/5/2021,,dhl,Delivered
51,20425,16/01/22,,dhl,Delivered
52,8113,3/12/2023,,bluedart,Delivered
53,3783,15/02/23,,dhl,Delivered
54,21535,19/10/20,,bluedart,Delivered
55,15289,27/05/20,,fedex,Delivered
56,6575,4/11/2022,,bluedart,Delivered
57,1526,23/06/23,,fedex,Delivered
58,10850,10/3/2022,,ups,Delivered
59,13039,4/7/2021,,ups,Delivered
60,12024,8/5/2022,,bluedart,Delivered
61,15080,8/11/2021,,bluedart,Delivered
62,598,16/11/21,,dhl,Delivered
63,11403,22/04/21,,bluedart,Delivered
64,9276,14/01/20,,bluedart,Delivered
65,11527,11/11/2021,,fedex,Delivered
66,16276,21/09/20,,dhl,Delivered
67,5938,24/11/20,,dhl,Delivered
